,RunId,iteration,Step,nVehicles,percent_emergency,Vehicle,Mean_speed,Emergency,Emergency_collisions,TrafficLight,Car0_direction,Car1_direction,Car2_direction,Car3_direction,Car4_direction,Vehicles_crossed_left,Vehicles_crossed_up,Vehicles_crossed_down,Vehicles_crossed_right
60,0,0,60,8,0.2,8,2.0,3,17,4,2,2,1,1,3,0,0,0,0
61,0,0,61,8,0.2,8,2.0,3,17,4,3,2,1,1,3,0,0,0,0
62,0,0,62,8,0.2,8,2.0,3,17,4,3,2,1,1,3,0,0,0,0
63,0,0,63,8,0.2,8,2.0,3,17,4,3,2,1,1,3,0,0,0,0
64,0,0,64,8,0.2,8,2.0,3,17,4,3,2,1,1,3,0,0,0,0
65,0,0,65,8,0.2,8,2.0,3,17,4,3,2,2,1,3,0,0,0,0
66,0,0,66,8,0.2,8,2.0,3,17,4,3,2,2,1,3,0,0,0,0
67,0,0,67,8,0.2,8,2.0,3,17,4,3,2,2,1,3,0,0,0,0
68,0,0,68,8,0.2,8,2.0,3,17,4,3,2,2,2,3,0,0,0,0
69,0,0,69,8,0.2,8,2.0,3,17,4,3,2,2,2,3,0,0,0,0
70,0,0,70,8,0.2,8,2.0,3,17,4,3,2,2,2,3,0,0,1,0
71,0,0,71,8,0.2,8,2.0,3,17,4,3,2,2,2,3,0,0,0,0
72,0,0,72,8,0.2,8,2.0,3,17,4,3,2,2,2,3,0,0,0,0
73,0,0,73,8,0.2,8,2.0,3,17,4,3,2,2,2,3,0,0,1,0
74,0,0,74,8,0.2,8,2.0,3,17,4,3,2,2,2,3,0,0,0,0
75,0,0,75,8,0.2,8,2.0,3,17,4,3,2,2,2,3,0,0,0,0
76,0,0,76,8,0.2,8,2.0,3,17,4,3,2,2,2,3,0,0,0,0
77,0,0,77,8,0.2,8,2.0,3,17,4,3,2,2,2,3,0,0,0,0
78,0,0,78,8,0.2,8,2.0,3,17,4,3,2,2,2,3,0,0,0,0
79,0,0,79,8,0.2,8,2.0,3,17,4,3,2,2,2,3,0,0,0,0
80,0,0,80,8,0.2,8,2.0,3,17,4,3,2,2,2,3,0,0,0,0
81,0,0,81,8,0.2,8,2.0,3,17,4,3,2,2,2,3,0,1,0,0
82,0,0,82,8,0.2,8,2.0,3,17,4,3,2,2,2,3,0,0,0,0
83,0,0,83,8,0.2,8,2.0,3,17,4,3,2,2,2,3,0,0,0,0
84,0,0,84,8,0.2,8,2.0,3,17,4,3,2,2,2,3,0,0,0,0
85,0,0,85,8,0.2,8,2.0,3,17,4,3,2,2,2,3,0,0,0,0
86,0,0,86,8,0.2,8,2.0,3,17,4,3,2,2,2,3,0,0,0,0
87,0,0,87,8,0.2,8,2.0,3,17,4,3,2,2,2,3,0,0,0,0
88,0,0,88,8,0.2,8,2.0,3,17,4,3,2,2,2,3,0,0,0,0
89,0,0,89,8,0.2,8,2.0,3,17,4,3,2,2,2,3,0,0,0,0
90,0,0,90,8,0.2,8,2.0,3,17,4,3,2,2,2,3,0,0,0,0
91,0,0,91,8,0.2,8,2.0,3,17,4,3,2,2,2,3,0,0,0,0
92,0,0,92,8,0.2,8,2.0,3,17,4,3,2,2,2,3,0,0,0,0
93,0,0,93,8,0.2,8,2.0,3,17,4,3,2,3,2,3,0,0,0,0
94,0,0,94,8,0.2,8,2.0,3,17,4,3,2,3,2,3,0,0,0,0
95,0,0,95,8,0.2,8,2.0,3,17,4,3,2,3,2,3,0,0,0,0
96,0,0,96,8,0.2,8,2.0,3,17,4,3,2,3,2,3,0,0,0,0
97,0,0,97,8,0.2,8,2.0,3,17,4,3,2,3,2,3,0,0,0,0
98,0,0,98,8,0.2,8,2.0,3,17,4,3,2,3,2,3,0,0,0,1
99,0,0,99,8,0.2,8,2.0,3,17,4,3,2,3,2,3,0,0,0,0
100,0,0,100,8,0.2,8,2.0,3,17,4,3,2,3,2,3,0,0,0,0
101,0,0,101,8,0.2,8,2.0,3,17,4,3,2,3,2,3,0,0,0,0
102,0,0,102,8,0.2,8,2.0,3,17,4,3,2,3,2,3,0,0,0,0
103,0,0,103,8,0.2,8,2.0,3,17,4,3,2,3,2,3,0,0,0,0
